Titlu,Descriere,Categorie
masa.rotunda@upt.ro,"Vă invităm să utilizați grupul de e-mail masa.rotunda@upt.ro, deschis dezbaterilor interne: instrucțiuni pentru înscriere",INFORMATIZARE
Prodecani U.P.T.,Lista cu prodecanii din facultăţile Universităţii &#8220;Politehnica&#8221; din Timişoara &#8211; Prodecani U.P.T.,ALTE ANUNȚURI
Avizier electronic UPT,"Vă invităm să consultaţi avizierul electronic, începând cu acest document (click aici)",INFORMATIZARE
Avitech Co – Caravană tehnologică,"Sunteţi invitaţi în data de 22.06.2012, începând cu ora 10.00, sala A101 corpul Electro, la evenimentul &#8220;Tehnologii moderne pentru performanţă în învăţământul universitar&#8221;. Invitatie. Pentru mai multe detalii despre AVITECH şi soluţiile ce urmează a fi prezentate accesaţi link-urile următoare: AVITECH EON Reality SMART Technologies",EVENIMENT
Validare Senat concurs decani – 14.06.2012,"Rezultatele finale ale alegerilor pentru funcţia de decan, validate în şedinţa Senatului din data de 14.06.2012   &#8211; Validare Senat concurs decani",ALTE ANUNȚURI
Aniversarea a 15 ani de existenţă a AGIR Timiş,"Asociaţia Generală a Inginerilor din România / Filiala Timişoara, aniversează 15 ani de existenţă. Manifestarea va avea loc în data de 15 iunie 2012 în Sala Mare a Senatului UPT la ora 11.00. Mai multe despre AGIR &#8230;",EVENIMENT
Colocviul internațional de Comunicare și cultură în România europeană,In perioada 15-16 iunie 2012 se organizeaza manifestarea științifică internațională ce urmăreşte crearea unui cadru academic de comunicare pe teme de interes larg pentru susținerea unității și a identității spațiului romanic de cultură și civilizație. web,EVENIMENT
Menţinerea calităţii de titular,Menţinerea calităţii de titular în învăţământ şi /sau  cercetare după  împlinirea vârstei de pensionare Hotarârea nr.11 din 08.06.2012,ALTE ANUNȚURI
Recunoaşterea perioadelor de studiu,Regulamentul privind recunoaşterea perioadelor de studii şi/sau de practică efectuate de studenţi în cadrul programului Erasmus Hotarârea nr.14 din 08.06.2012,DIDACTIC
Profesor Emerit,Metodologia  privind conferirea titlului onorific de PROFESOR EMERIT AL U.P.T. după împlinirea vârstei de pensionare Hotarârea nr.13 din 08.06.2012,ALTE ANUNȚURI
Posturi scoase la concurs,"Monitorul Oficial al României nr. 237/16.07.2012, partea a III-a, cu scoaterea la concurs a posturilor didactice şi de cercetare vacante.",DIDACTIC
Lansare de noi programe de cercetare,"Mecanismul financiar SEE 2009 &#8211; 2014, România -Statele AELS şi ERA &#8211; Net CONCERT &#8211; Japan &#8211; Apel pilot comun &#8211; Newsletter UEFISCDI",CERCETARE - COOPERARE
Susţinere teză de abilitare – Daniel Ungureanu,"Susţinerea tezei de abilitare va avea loc luni, 23.07.2012, ora 11.00, în sala “Constantin Avram” din cadrul Facultăţii de Construcţii",EVENIMENT
Susţinere teză de abilitare – Corneliu Crăciunescu,"Susţinerea tezei de abilitare va avea loc vineri, 20.07.2012, ora 10.00, în Amfiteatrul &#8220;Traian Vuia&#8221; din cadrul Facultăţii de Mecanică",EVENIMENT
Condiţii de funcţionare program masterat,"Condiţiile obligatorii  de funcţionare a unui program de masterat în U.P.T., începând cu anul universitar 2012 &#8211; 2013.",DIDACTIC
Structura anului universitar 2012 – 2013,"Structura anului  universitar 2012 &#8211; 2013, conform Hotărârii Senatului nr.30 din 28.06.2012",DIDACTIC
Profesor emerit al U.P.T.,"Metodologia  de  conferire a titlului onorific de Profesor emerit al U.P.T., conform Hotărârii Senatului nr.29 din 28.06.2012.",ALTE ANUNȚURI
Metodologia menţinerii calităţii de titular după vârsta de pensionare,"Metodologia de aprobare a menţinerii calităţii de titular după vârsta de pensionare, valabilă pentru anii universitari începând cu  2012 &#8211; 2013, conform cu Hotărârea Senatului nr.28 din 28.06.2012.",ALTE ANUNȚURI
Strategia naţională CDI 2014 – 2020,"ANCS propune un Memorandum privind elaborarea Strategiei Naţionale şi a Planului Naţional pentru domeniul Cercetare &#8211; Dezvoltare &#8211; Inovare 2014 &#8211; 2020. Cei ce doresc să se implice, sunt rugaţi să transmită propuneri la adresa marius.otesteanu@etc.upt.ro",CERCETARE - COOPERARE
sindicat@upt.ro,Adresa e-mail de grup sindicat@upt.ro este funcţională pentru membrii sindicatului U.P.T. care au adresa de e-mail de forma prenume.nume@domeniu.upt.ro.,INFORMATIZARE
Program INOVARE şi Apel M-ERA.NET,Modificare pachet informaţii &#8211; Competiţii 2012 - Program INOVARE şi Apel M-ERA.NET,CERCETARE - COOPERARE
Decorarea d-lui prof.dr.ing. Radu Băncilă cu “Crucea de Merit Clasa I”,"Ambasadorul Republicii Federale Germania în România, Andreas von Mettenheim, va decerna Ordinul de Merit al Republicii Federale Germania, „Crucea de Merit Clasa I” domnului prof. univ. dr. ing. Radu Băncilă, marţi, 25 septembrie 2012, la ora 17.00, în sala Senatului a Universităţii „Politehnica” din Timişoara.",EVENIMENT
Instrucţiunea Nr.62 – POSDRU 2007-2013,Instrucţiunea Nr. 62 privind modificarea/completarea unor documente de raportare utilizate de beneficiarii POSDRU 2007-2013. Anexa 1.2 şi Anexa 3.,ALTE ANUNȚURI
Masa rotundă: U.P.T. – Mediul economic,"În data de 2 octombrie 2012 a avut loc evenimentul Masa rotundă: U.P.T. &#8211; Mediul economic, eveniment ce a fost difuzat pe site-ul Teleuniversităţii la adresa TeleU",EVENIMENT
Acordul Alianţă pentru Educaţie – Microsoft-U.P.T.,Acordul Alianţă pentru Educaţie,INFORMATIZARE
Licenţe Microsoft,Lista licenţelor Microsoft,INFORMATIZARE
Hotărârea Senatului nr.42 din 27.09.2012,Hotărârea nr.42 din 27.09.2012  privind componenţa Comisiei de Etică Universitară a U.P.T.,ALTE ANUNȚURI
Hotărârea Senatului nr.41 din 27.09.2012,"Hotărârea nr.41 din 27.09.2012  privind validarea concursurilor pentru ocuparea de posturi didactice, organizate în sesiunea septembrie 2012.",ALTE ANUNȚURI
Hotărârea Senatului nr.36 din 20.09.2012,Hotărârea nr.36 din 20.09.2012  cu privire la  poziţia de preşedinte a Senatului (art.1) şi  asociaţia nonguvernamentală Atletic Club Sportiv Recaş (art.2).,ALTE ANUNȚURI
Codul drepturilor şi obligaţiilor studentului din UPT,Hotarâre a Senatului Universităţii &#8220;Politehnica&#8221; din Timişoara privind Codul drepturilor şi obligaţiilor studentului din UPT .,DIDACTIC
Calendar alegeri parţiale,Informare privind declanşarea alegerilor parţiale pe posturile vacantate,ALTE ANUNȚURI
Teleuniversitatea pe internet,Emisiunile postului TV Teleuniversitatea pot fi urmarite la dresa www.teleu.ro,INFORMATIZARE
Programul Fullbright Senior Award,"Programul postdoctoral Fulbright Senior Award 2013-2014, pentru anul academic 2013-2014, adresat cadrelor didactice şi cercetătorilor din universităţi.",CERCETARE - COOPERARE
Târgul Transfrontalier de Inovare – InnoMatch Fair,"În cadrul acestui târg U.P.T va beneficia de un stand în vederea promovării celor mai reprezentative produse, servicii şi tehnologii rezultate din activitatea de cercetare a universităţii. Cadrele didactice interesate se pot înscrie pe site-ul Tehimpuls conform cu adresa. Termen: 28.11.2012.",EVENIMENT
Newsletter UEFISCDI 23.11.2012,Newsletter UEFISCDI din 23.11.2012 &#8211; Lansare competiţie 2012; Apel deschis CHIST-ERA şi CrossTexNet ERANET; Apel în pregătire proiect EuroNanoMed II şi proiect E-RARE.,CERCETARE - COOPERARE
Procedura privind evidenţa veniturilor şi cheltuielilor realizate din contractele de cercetare,Noua procedură privind evidenţa veniturilor şi cheltuielilor realizate din contractele de cercetare care la data de 15.11.2012 devine funcţională conform adresei.,CERCETARE - COOPERARE
Creşterea calităţii cercetării ştiinţifice avansate în U.P.T.,"Conform HCA 32/07.11.2012 art.1 &#8211; CERERE pentru participare la manifestări ştiinţifice indexate ISI şi art.2 &#8211; CERERE pentru publicarea unei lucrări în reviste cotate ISI, cu factor de impact",CERCETARE - COOPERARE
